Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 ,target, CO 
Nhiều mây,-4°C,79%,8.1 km/h,1019 mbar,2.1*,,,,,Tốt,
Nhiều mây,-10°C,73%,22.2 km/h,1014 mbar,1.1*,,,,,Tốt,
Mây rải rác,26°C,61%,12.5 km/h,1015 mbar,1.6,,,,,Tốt,
Nhiều mây,-1°C,54%,5.9 km/h,1025 mbar,3,6,,30.1,0,Tốt,
Nhiều mây,11°C,94%,33.3 km/h,999 mbar,1,1,,3,3,Tốt,
Nhiều mây,-2°C,94%,3.2 km/h,1006 mbar,12.4,18.4,,39.8,,Trung bình,
Mây rải rác,-2°C,90%,1.8 km/h,1009 mbar,11.9,18.7,,59.7,,Tốt,
Sương mù,-1°C,92%,1.8 km/h,1009 mbar,12.3,17.4,,59.7,,Trung bình,
Nhiều mây,-2°C,94%,3.2 km/h,1005 mbar,17.5,23.6,,60.9,,Trung bình,
Nhiều mây,-1°C,89%,3.2 km/h,1009 mbar,5.3,8.2,,43.2,,Tốt,
Nhiều mây,0°C,88%,11.7 km/h,1007 mbar,0,,,,,Tốt,
Trời quang,2°C,89%,9.3 km/h,1024 mbar,12.1*,,,,,Trung bình,
Trời quang,5°C,39%,9.6 km/h,1011 mbar,0.7,,,,,Tốt,
Mây rải rác,-2°C,85%,3.2 km/h,1018 mbar,3.8,,,,,Tốt,
Nhiều mây,0°C,81%,5.7 km/h,1011 mbar,1.9,,,24.1,,Tốt,
Nhiều mây,4°C,93%,5.5 km/h,1014 mbar,1.9,,,,,Tốt,
Sương mù,1°C,91%,6.4 km/h,1016 mbar,4.3,,,,,Tốt,
Mưa,4°C,93%,5.6 km/h,1015 mbar,3.1,,,,,Tốt,
Sương mù,3°C,92%,1.6 km/h,1015 mbar,1.2,,,,,Tốt,
Nhiều mây,5°C,87%,7.4 km/h,1017 mbar,14.4,,,,,Trung bình,
Nhiều mây,4°C,91%,3 km/h,1015 mbar,4.4,,,,,Tốt,
Trời quang,16°C,53%,5.7 km/h,1006 mbar,0.1,,,,,Tốt,
Mưa,22°C,93%,6.4 km/h,1008 mbar,,5.9,,15,,Tốt,
Mưa,22°C,93%,6.4 km/h,1008 mbar,,5.9,,15,,Tốt,
Mưa,22°C,93%,6.4 km/h,1004 mbar,3.7,12.3,,9.4,,Tốt,
Trời quang,-3°C,60%,9.5 km/h,1013 mbar,7,9,,5,,Tốt,
Trời quang,2°C,63%,13 km/h,1008 mbar,0.7,,,,,Tốt,
Trời quang,5°C,45%,16.7 km/h,1004 mbar,7.6,,,,,Tốt,
Nhiều mây,4°C,94%,2.1 km/h,1004 mbar,11.5,,,,,Tốt,
Nhiều mây,3°C,85%,4.8 km/h,1013 mbar,1.7,,,,,Tốt,
Nhiều mây,3°C,99%,1.7 km/h,1016 mbar,8.2,,,,,Tốt,
Nhiều mây,4°C,93%,3.2 km/h,1015 mbar,3.4,,,,,Tốt,
Nhiều mây,4°C,99%,1.6 km/h,1016 mbar,3.3,,,,,Tốt,
Nhiều mây,5°C,91%,1.6 km/h,1015 mbar,2.1,,,,,Tốt,
Sương mù,4°C,97%,0 km/h,1015 mbar,7.2,,,,,Tốt,
Nhiều mây,3°C,99%,3 km/h,1014 mbar,3.2,,,,,Tốt,
Nhiều mây,22°C,91%,13.9 km/h,1010 mbar,5.3,12.7,32,1.9,,Tốt,
Trời quang,2°C,90%,8 km/h,1016 mbar,0.7,,,,,Tốt,
Nhiều mây,1°C,97%,3.2 km/h,1016 mbar,0.7,,,,,Tốt,
Nhiều mây,-7°C,52%,4.8 km/h,1022 mbar,4.8,,,10.7,,Tốt,
Nhiều mây,-3°C,84%,6.4 km/h,1018 mbar,2.5,,,,,Tốt,
Trời quang,-6°C,81%,3.2 km/h,1026 mbar,2,,54,4.7,,Tốt,
Nhiều mây,-1°C,35%,4.8 km/h,1021 mbar,6.5,9,,29.1,,Tốt,
Nhiều mây,24°C,96%,4.9 km/h,1011 mbar,9,12.1,,,,Tốt,
Nhiều mây,-1°C,91%,3.3 km/h,1009 mbar,9.3,13.4,,46.5,,Tốt,
Ít mây,0°C,86%,9.3 km/h,1008 mbar,6.4,8.9,,25.9,,Tốt,
Trời quang,3°C,61%,7.4 km/h,1004 mbar,3.1*,,,,,Tốt,
Trời quang,-3°C,99%,5.7 km/h,1017 mbar,0.5,,,,,Tốt,
Nhiều mây,0°C,76%,18.2 km/h,1025 mbar,6.1,,,,,Tốt,
Trời quang,2°C,62%,14.8 km/h,1011 mbar,4,3,56,0,0,Tốt,0
Nhiều mây,-5°C,84%,9.3 km/h,1022 mbar,3.9,,,,,Tốt,
Nhiều mây,2°C,46%,20.9 km/h,1005 mbar,3.7,,,,,Tốt,
Nhiều mây,5°C,90%,7.4 km/h,1015 mbar,4.4,,,,,Tốt,
Trời quang,16°C,43%,9.6 km/h,1009 mbar,0.1,,,,,Tốt,
Trời quang,17°C,38%,8.4 km/h,1009 mbar,0,,,,,Tốt,
Ít mây,27°C,81%,17.6 km/h,1009 mbar,4.3,10.4,,,,Tốt,
Nhiều mây,9°C,77%,16.7 km/h,1010 mbar,1.1,,,,,Tốt,
Mưa rào,11°C,82%,18.5 km/h,1009 mbar,1.6,,,,,Tốt,
Mây rải rác,28°C,65%,22.2 km/h,1013 mbar,1,,,,,Tốt,
Mây rải rác,-20°C,98%,4 km/h,1029 mbar,10.4,,,,2.6,Tốt,
Ít mây,1°C,90%,8.1 km/h,1018 mbar,0.5,,,,,Tốt,
Ít mây,4°C,83%,25.7 km/h,1016 mbar,4.4,,,,,Tốt,
Tuyết,-4°C,93%,44.3 km/h,1000 mbar,1.1*,,,,,Tốt,
Nhiều mây,-22°C,75%,31.5 km/h,1026 mbar,1.1*,,,,,Tốt,
Trời quang,-7°C,68%,20.4 km/h,1024 mbar,8.4,,,,,Tốt,
Mưa,9°C,89%,21.5 km/h,1003 mbar,0,,,,,Tốt,
Nhiều mây,13°C,91%,22.7 km/h,1001 mbar,3.1*,,,,,Tốt,
Mưa,14°C,78%,8.2 km/h,1007 mbar,5,6,26.5,18.5,9,Tốt,0.1
Trời quang,-6°C,97%,11.1 km/h,1011 mbar,6,6.2,,,,Tốt,
Trời quang,-2°C,86%,1.8 km/h,1009 mbar,3.8,6.6,,40.6,,Tốt,
Mây rải rác,-2°C,94%,3.2 km/h,1006 mbar,9,,,,,Tốt,
Nhiều mây,-2°C,81%,5.4 km/h,1010 mbar,6.6,13.6,,,,Tốt,
Nhiều mây,-1°C,91%,3.2 km/h,1009 mbar,3.7,,,,,Tốt,
Nhiều mây,0°C,89%,11.1 km/h,1007 mbar,4,2,,,,Tốt,
Mưa,4°C,92%,27.4 km/h,1016 mbar,2.5,,,,,Tốt,
Nhiều mây,4°C,91%,7.4 km/h,1015 mbar,12,,,,,Tốt,
Mưa,22°C,93%,13 km/h,1009 mbar,5.1*,,,,,Tốt,
Nhiều mây,10°C,67%,8.7 km/h,996 mbar,4,6,,,,Tốt,
Nhiều mây,10°C,88%,22.2 km/h,1003 mbar,0.8,,,,,Tốt,
Nhiều mây,11°C,84%,23.8 km/h,1010 mbar,0.4,,,,,Tốt,
Trời quang,-7°C,43%,11.2 km/h,1022 mbar,1.7,,,,,Tốt,
Nhiều mây,-1°C,75%,3.2 km/h,1018 mbar,4.5,10.6,,5.5,0,Tốt,0.2
Mây rải rác,-2°C,89%,10.3 km/h,1028 mbar,10.1*,,,,,Tốt,
Nhiều mây,-2°C,90%,3.2 km/h,1027 mbar,3,,,,,Tốt,
Tuyết,-4°C,91%,37 km/h,998 mbar,4,9.8,46.7,3.4,0.4,Tốt,220
Tuyết,-9°C,86%,38.9 km/h,1002 mbar,4,10,42.2,11.1,,Tốt,
Nhiều mây,-4°C,79%,8.9 km/h,1014 mbar,4,6,,6,,Tốt,
Trời quang,2°C,93%,8.1 km/h,1007 mbar,7.9,8.5,,,,Tốt,
Nhiều mây,0°C,96%,9.4 km/h,1022 mbar,6,,,,,Tốt,
Mây rải rác,14°C,72%,9.3 km/h,1015 mbar,0.8,,,,,Tốt,
Trời quang,12°C,52%,9.3 km/h,1013 mbar,4.1,,,,,Tốt,
Trời quang,17°C,66%,6.4 km/h,1013 mbar,2.1,,,,,Tốt,
Trời quang,-2°C,58%,1.8 km/h,1013 mbar,3.8,4.8,,61.5,,Tốt,
Nhiều mây,-12°C,96%,7.4 km/h,1022 mbar,9.8,21.8,,33.4,,Tốt,
Ít mây,-2°C,51%,5.8 km/h,1011 mbar,11,18,56,58,,Tốt,
Nhiều mây,4°C,90%,7.4 km/h,1009 mbar,0,,,,,Tốt,
Nhiều mây,4°C,90%,7.4 km/h,1009 mbar,0,,,,,Tốt,
Nhiều mây,3°C,96%,1.6 km/h,1008 mbar,3.2,,,,,Tốt,
Ít mây,6°C,92%,0 km/h,1011 mbar,0,,,,,Tốt,
Trời quang,3°C,94%,11.3 km/h,1013 mbar,0,,,,,Tốt,
Nhiều mây,0°C,83%,4.8 km/h,1008 mbar,2.6,,,,,Tốt,
Ít mây,18°C,54%,13 km/h,1026 mbar,,,54,,,Tốt,
Trời quang,-6°C,67%,20.9 km/h,1023 mbar,2.3,,,,,Tốt,
Nhiều mây,-3°C,89%,6.4 km/h,1024 mbar,2.4,,,,,Tốt,
Ít mây,9°C,66%,3.9 km/h,1011 mbar,3,3.4,,,,Tốt,
Nhiều mây,-7°C,85%,5.5 km/h,1021 mbar,3.1,,,,,Tốt,
Nhiều mây,4°C,92%,7.4 km/h,1015 mbar,1.6,,,,,Tốt,
Nhiều mây,1°C,99%,6.7 km/h,1013 mbar,2,,,,,Tốt,
Sương mù,4°C,95%,5.5 km/h,1016 mbar,4.8,,,,,Tốt,
Mưa,4°C,92%,9.3 km/h,1014 mbar,2,,,,,Tốt,
Nhiều mây,-2°C,80%,11.1 km/h,1026 mbar,1.8,,,,,Tốt,
Mây rải rác,27°C,74%,13 km/h,1009 mbar,3.2,7.9,,1.9,,Tốt,
Nhiều mây,-23°C,100%,5.4 km/h,1026 mbar,6.2,7.7,,24.1,1.8,Tốt,
Ít mây,1°C,95%,16.7 km/h,1016 mbar,3.9,,,,,Tốt,
Ít mây,-8°C,65%,11.1 km/h,1023 mbar,1.1*,,,,,Tốt,
Nhiều mây,2°C,48%,5.3 km/h,1008 mbar,0.2,,,,,Tốt,
Nhiều mây,11°C,77%,7.2 km/h,1019 mbar,5,5,,5.6,0,Tốt,
Trời quang,-2°C,53%,1.8 km/h,1013 mbar,11.4,18.3,,,,Tốt,
Nhiều mây,18°C,89%,12.9 km/h,1002 mbar,3.1*,,,,,Tốt,
Mây rải rác,-1°C,88%,4.3 km/h,1010 mbar,6.4,7.9,,25.4,,Tốt,
Nhiều mây,6°C,96%,14.8 km/h,1010 mbar,0.2,,,,,Tốt,
Mây rải rác,1°C,47%,13.6 km/h,1012 mbar,5.7,,,,,Tốt,
Trời quang,0°C,79%,3.2 km/h,1010 mbar,15.5,22,,,,Trung bình,
Nhiều mây,-16°C,97%,6.6 km/h,1005 mbar,31,22,47,,6,Trung bình,
Mây rải rác,1°C,69%,18.5 km/h,1010 mbar,17.2,24.3,43.7,17.2,4.7,Trung bình,
Mưa,17°C,80%,14.9 km/h,1016 mbar,15.8,,,,,Trung bình,
Nhiều mây,0°C,87%,17.2 km/h,1017 mbar,18,32,,,7.9,Trung bình,
Nhiều mây,6°C,86%,9.6 km/h,1004 mbar,26.1,,,,,Trung bình,
Nhiều mây,23°C,95%,5.9 km/h,1011 mbar,8.1*,,,,,Tốt,
Nhiều mây,1°C,92%,0 km/h,1011 mbar,1.9,,,,,Tốt,
Nhiều mây,6°C,86%,6.3 km/h,1011 mbar,5.1*,,,,,Tốt,
Mưa,7°C,82%,11.1 km/h,1012 mbar,3.9,,,,,Tốt,
Mây rải rác,4°C,87%,5.5 km/h,1014 mbar,0.5,,,,,Tốt,
Nhiều mây,7°C,91%,8.7 km/h,1012 mbar,1.2,,,,,Tốt,
Nhiều mây,7°C,90%,14.8 km/h,1011 mbar,1.3,,,,,Tốt,
Ít mây,0°C,93%,14.8 km/h,1009 mbar,2.4,,,,,Tốt,
Mây rải rác,0°C,90%,1.6 km/h,1026 mbar,5.8,,,,,Tốt,
Nhiều mây,1°C,79%,9.3 km/h,1024 mbar,13.2,,,,,Trung bình,
Nhiều mây,-8°C,98%,5.1 km/h,1017 mbar,4.6,,,,,Tốt,
Nhiều mây,-8°C,99%,5.9 km/h,1016 mbar,1.4,,,,,Tốt,
Trời quang,2°C,72%,0 km/h,1011 mbar,16.9,28,,,,Trung bình,
Trời quang,13°C,70%,0.9 km/h,1019 mbar,48,72,110,22,5,Không lành mạnh cho các nhóm nhạy cảm,650
Ít mây,0°C,78%,13 km/h,1010 mbar,14.1*,,,,,Trung bình,
Nhiều mây,0°C,63%,21.5 km/h,1010 mbar,13.3,11,45.6,,3.5,Trung bình,
Ít mây,0°C,52%,24.9 km/h,1011 mbar,12.5,12.2,48.1,,2.4,Trung bình,
Nhiều mây,2°C,92%,14.5 km/h,1008 mbar,6,,,,,Tốt,
Ít mây,11°C,66%,3.9 km/h,1019 mbar,32,,,,,Trung bình,
Nhiều mây,-1°C,89%,4.8 km/h,1009 mbar,3.7,8.3,,,,Tốt,
Nhiều mây,0°C,91%,8.4 km/h,994 mbar,6.1*,,,,,Tốt,
Tuyết,0°C,98%,6.3 km/h,1020 mbar,9.1*,,,,,Tốt,
Nhiều mây,4°C,81%,10.2 km/h,1020 mbar,7.1*,,,,,Tốt,
Mưa,6°C,90%,11.1 km/h,1013 mbar,0.3,,,,,Tốt,
Mưa,7°C,91%,9.3 km/h,1011 mbar,0.3,,,,,Tốt,
Mưa,6°C,89%,5.5 km/h,1010 mbar,,,16,18.8,,Tốt,0
Nhiều mây,3°C,43%,4.4 km/h,1001 mbar,23.1,,,,,Trung bình,
Nhiều mây,2°C,90%,0 km/h,1026 mbar,14.1*,,,,,Trung bình,
Nhiều mây,4°C,68%,11.1 km/h,1022 mbar,35.3,,,,,Trung bình,
Trời quang,7°C,72%,14.8 km/h,1023 mbar,9.5,,,,,Tốt,
Nhiều mây,1°C,79%,9.3 km/h,1024 mbar,8.5,,,,,Tốt,
Trời quang,2°C,69%,13.4 km/h,1024 mbar,6.8,,,,,Tốt,
Nhiều mây,2°C,75%,11.1 km/h,1023 mbar,15.1,,,,,Trung bình,
Nhiều mây,2°C,78%,9.3 km/h,1037 mbar,11.3,,,,,Tốt,
Tuyết,0°C,90%,14.8 km/h,1002 mbar,0.1,,,,,Tốt,
Nhiều mây,-13°C,99%,2.3 km/h,1024 mbar,33.5,,,,,Trung bình,
Trời quang,18°C,54%,15.9 km/h,1019 mbar,5,22,18,11.8,,Tốt,
Sương mù,-2°C,90%,22.2 km/h,1009 mbar,15,14,,,,Trung bình,
Nhiều mây,-1°C,85%,1.8 km/h,1011 mbar,37.6,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,13°C,70%,3.5 km/h,1005 mbar,3.1*,,,,,Tốt,
Nhiều mây,4°C,66%,1.3 km/h,1022 mbar,12.5,11,,35.7,,Trung bình,343.5
Nhiều mây,7°C,66%,11.9 km/h,1006 mbar,10,14.9,,,,Tốt,
Mưa,26°C,83%,7.4 km/h,1009 mbar,23.4,,,,,Trung bình,
Nhiều mây,0°C,73%,25.9 km/h,1009 mbar,13,,,,,Trung bình,
Tuyết,1°C,95%,6.7 km/h,1018 mbar,21,32,32,,,Trung bình,
Mây rải rác,19°C,69%,4.8 km/h,1012 mbar,4.1*,,,,,Tốt,
Nhiều mây,-1°C,96%,8.4 km/h,1010 mbar,0,,,,,Tốt,
Mưa,5°C,92%,1.6 km/h,1011 mbar,11.8,,,,,Tốt,
Mây rải rác,-1°C,96%,9.9 km/h,1019 mbar,0.8,,,,,Tốt,
Nhiều mây,5°C,94%,4.8 km/h,1013 mbar,0.1,,,,,Tốt,
Ít mây,6°C,93%,9.3 km/h,1011 mbar,3.4,,,,,Tốt,
Nhiều mây,6°C,95%,9.3 km/h,1012 mbar,1.1*,,,,,Tốt,
Nhiều mây,10°C,95%,2.8 km/h,1019 mbar,9,,,,,Tốt,
Sương mù,11°C,96%,7.4 km/h,1020 mbar,8.7,,,,,Tốt,
Nhiều mây,0°C,83%,20.4 km/h,1025 mbar,19.1*,,,,,Trung bình,
Trời quang,-6°C,70%,22.2 km/h,1022 mbar,2.6,,,,,Tốt,
Nhiều mây,2°C,77%,11.1 km/h,1026 mbar,7,,,,,Tốt,
Trời quang,2°C,87%,14.8 km/h,1021 mbar,6.3,,,,,Tốt,
Nhiều mây,1°C,71%,3.2 km/h,1023 mbar,12.1*,,,,,Trung bình,
Nhiều mây,27°C,67%,17.9 km/h,1007 mbar,7,8,51,18,7,Tốt,
Mây rải rác,10°C,93%,7.4 km/h,1028 mbar,36.9,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Ít mây,0°C,81%,13 km/h,1008 mbar,25,36.2,20.8,28.9,,Trung bình,
Trời quang,8°C,50%,1.8 km/h,1006 mbar,15,,,,,Trung bình,
Nhiều mây,13°C,67%,5.7 km/h,1006 mbar,3.1*,,,,,Tốt,
Nhiều mây,26°C,91%,6.6 km/h,1010 mbar,34.2*,,,,,Trung bình,
Nhiều mây,-5°C,94%,12.3 km/h,996 mbar,5.9,,,,,Tốt,
Nhiều mây,0°C,93%,10.4 km/h,1018 mbar,28,57,,,5.2,Trung bình,
Nhiều mây,18°C,79%,67.4 km/h,1017 mbar,11,18,,3.8,1.8,Tốt,
Nhiều mây,24°C,89%,20.4 km/h,1011 mbar,7.1*,,,,,Tốt,
Trời quang,2°C,98%,11.1 km/h,1015 mbar,2,,,,,Tốt,
Nhiều mây,5°C,89%,5.5 km/h,1010 mbar,0.4,,,,,Tốt,
Nhiều mây,6°C,91%,18.5 km/h,1014 mbar,0.4,,,,,Tốt,
Nhiều mây,4°C,93%,11.1 km/h,1012 mbar,1,,,,,Tốt,
Nhiều mây,6°C,90%,11.1 km/h,1014 mbar,0.9,,,,,Tốt,
Nhiều mây,0°C,92%,0 km/h,1011 mbar,1.7,,,,,Tốt,
Nhiều mây,2°C,95%,0 km/h,1012 mbar,1.9,,,,,Tốt,
Nhiều mây,-6°C,92%,11.7 km/h,1015 mbar,2.2,,,,,Tốt,
Sương mù,2°C,83%,7.4 km/h,1024 mbar,31.9,,,,,Trung bình,
Sương mù,0°C,93%,24.1 km/h,1018 mbar,39.3,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,1°C,80%,13 km/h,1025 mbar,23.6,,,,,Trung bình,
Nhiều mây,-13°C,92%,7.7 km/h,1021 mbar,7.1,,,,,Tốt,
Nhiều mây,2°C,82%,13 km/h,1022 mbar,16.7,,,,,Trung bình,
Nhiều mây,1°C,81%,9.3 km/h,1024 mbar,8.1,,,,,Tốt,
Nhiều mây,3°C,74%,13 km/h,1022 mbar,4.1*,,,,,Tốt,
Nhiều mây,9°C,91%,16.7 km/h,1020 mbar,9.1*,,,,,Tốt,
Sương mù,13°C,91%,16.7 km/h,1015 mbar,12.1*,,,,,Trung bình,
Nhiều mây,25°C,26%,10 km/h,1005 mbar,5.1*,,,,,Tốt,
Nhiều mây,15°C,69%,12.9 km/h,1006 mbar,14.3,,,,,Trung bình,
Tuyết,-8°C,57%,28.8 km/h,1029 mbar,6.8,16.8,,64.5,6.5,Tốt,466.4
Nhiều mây,25°C,93%,11.9 km/h,1009 mbar,9.4,,,,,Tốt,
Nhiều mây,8°C,61%,30.5 km/h,1021 mbar,9,20.5,64,15,2.6,Tốt,458
Nhiều mây,4°C,78%,5.1 km/h,1020 mbar,7.1*,,,,,Tốt,
Nhiều mây,5°C,75%,7.7 km/h,1020 mbar,4.1*,,,,,Tốt,
Nhiều mây,8°C,55%,32.3 km/h,1020 mbar,12.1*,,,,,Trung bình,
Nhiều mây,-6°C,69%,3.4 km/h,1013 mbar,6.2,,,,,Tốt,
Nhiều mây,11°C,76%,3.5 km/h,1006 mbar,10.6,26.2,33.3,9.5,,Tốt,
Trời quang,0°C,86%,13 km/h,1015 mbar,6.5,,,,,Tốt,
Mây rải rác,7°C,93%,11.1 km/h,1013 mbar,1.5,,,,,Tốt,
Nhiều mây,7°C,90%,14.8 km/h,1012 mbar,1,,,,,Tốt,
Nhiều mây,3°C,90%,9.6 km/h,1026 mbar,12.1*,,,,,Trung bình,
Nhiều mây,2°C,86%,13 km/h,1025 mbar,32.3,,,,,Trung bình,
Nhiều mây,1°C,77%,6.4 km/h,1026 mbar,13.1*,,,,,Trung bình,
Sương mù,22°C,92%,16.7 km/h,1012 mbar,30.2,,,,,Trung bình,
Sương mù,-7°C,93%,7.4 km/h,1013 mbar,0.3,,,,,Tốt,
Nhiều mây,-12°C,96%,2 km/h,1027 mbar,2.3,,,,,Tốt,
Trời quang,-4°C,57%,4.8 km/h,1013 mbar,8.2,,,,,Tốt,
Mây rải rác,25°C,83%,5.5 km/h,1009 mbar,9.2,9.3,,,,Tốt,
Ít mây,11°C,74%,9.3 km/h,1007 mbar,11.5,17.2,38.5,17.3,,Tốt,0.4
Nhiều mây,5°C,71%,1.5 km/h,1022 mbar,8,,,,,Tốt,
Nhiều mây,2°C,93%,11.8 km/h,1009 mbar,7.5,,,,,Tốt,
Mưa,25°C,98%,3.9 km/h,1010 mbar,9.1,,,,,Tốt,
Nhiều mây,-19°C,91%,18.2 km/h,1011 mbar,1.1*,,,,,Tốt,
Trời quang,2°C,83%,10.4 km/h,1019 mbar,18,15,,16.9,5.2,Trung bình,
Mây rải rác,6°C,76%,17.5 km/h,1020 mbar,6.1*,,,,,Tốt,
Mưa rào,14°C,91%,18.5 km/h,1024 mbar,7.7,,,,,Tốt,
Nhiều mây,15°C,83%,26.2 km/h,1021 mbar,12,20,,5.6,2.9,Tốt,
Nhiều mây,10°C,95%,7.7 km/h,1020 mbar,30.5,,,,,Trung bình,
Mây rải rác,7°C,92%,11.1 km/h,1012 mbar,2.1,,,,,Tốt,
Mưa,7°C,91%,11.1 km/h,1012 mbar,3.1,,,,,Tốt,
Nhiều mây,6°C,92%,3.2 km/h,1011 mbar,1,,,,,Tốt,
Mưa,4°C,90%,11.1 km/h,1000 mbar,2.1,,,,,Tốt,
Ít mây,0°C,93%,14.8 km/h,1009 mbar,5.1*,,,,,Tốt,
Mây rải rác,-6°C,84%,24.1 km/h,1010 mbar,7.9,12,40,,,Tốt,
Trời quang,8°C,76%,9.6 km/h,1021 mbar,18.1*,,,,,Trung bình,
Nhiều mây,1°C,84%,9.3 km/h,1024 mbar,12.1*,,,,,Trung bình,
Trời quang,2°C,69%,13.2 km/h,1024 mbar,5.4,,,,,Tốt,
Nhiều mây,0°C,84%,11.1 km/h,1024 mbar,14.6,,,,,Trung bình,
Nhiều mây,0°C,83%,5.5 km/h,1027 mbar,6.1*,,,,,Tốt,
Nhiều mây,10°C,82%,4.1 km/h,1024 mbar,15.5,35,57.5,9.5,3,Trung bình,700
Tuyết,-2°C,90%,15.3 km/h,1011 mbar,8,9,,13.8,,Tốt,
Tuyết,-2°C,93%,16.6 km/h,1011 mbar,24,13,,,6.4,Trung bình,
Nhiều mây,0°C,78%,13.2 km/h,1009 mbar,24.1*,,,,,Trung bình,
Nhiều mây,-3°C,86%,9.3 km/h,993 mbar,31.3,,,,,Trung bình,
Trời quang,1°C,80%,7.4 km/h,1011 mbar,25,,,,,Trung bình,
Nhiều mây,0°C,91%,16.3 km/h,1009 mbar,9,7.2,,,,Tốt,
Tuyết,0°C,97%,26.5 km/h,999 mbar,3.3,3.6,,,,Tốt,
Nhiều mây,-1°C,88%,22.5 km/h,1007 mbar,12.5,11.6,,,3.3,Trung bình,
Nhiều mây,0°C,55%,24.3 km/h,1011 mbar,6.1*,,,,,Tốt,
Ít mây,6°C,74%,23.7 km/h,1019 mbar,10.1*,,,,,Tốt,
Mây rải rác,0°C,81%,9.7 km/h,1012 mbar,19,,,,,Trung bình,
Mưa,7°C,91%,14.8 km/h,1011 mbar,1.9,,,,,Tốt,
Nhiều mây,6°C,88%,6 km/h,1011 mbar,5.1*,,,,,Tốt,
Mưa,8°C,77%,11.1 km/h,1012 mbar,6.5,,,,,Tốt,
Nhiều mây,2°C,89%,7.3 km/h,1012 mbar,1.6,,,,,Tốt,
Mưa,7°C,78%,11.1 km/h,1012 mbar,6.1,,,,,Tốt,
Mưa,8°C,91%,14.8 km/h,1011 mbar,2.4,,,,,Tốt,
Mưa,8°C,91%,14.8 km/h,1011 mbar,2.4,,,,,Tốt,
Mây rải rác,8°C,92%,11.1 km/h,1012 mbar,3.5,,,,,Tốt,
Nhiều mây,0°C,98%,6.8 km/h,1008 mbar,0,,,,,Tốt,
Sương mù,10°C,99%,7.4 km/h,1020 mbar,3.8,,,,,Tốt,
Nhiều mây,2°C,90%,5.5 km/h,1026 mbar,14.1,,,,,Trung bình,
Nhiều mây,2°C,93%,10.7 km/h,1027 mbar,1.1,,,,,Tốt,
Nhiều mây,2°C,89%,5.5 km/h,1025 mbar,13.4,,,,,Trung bình,
Nhiều mây,-6°C,91%,7.1 km/h,1017 mbar,13,,,,,Trung bình,
Nhiều mây,-8°C,96%,4.4 km/h,1017 mbar,3.9,,,,,Tốt,
Nhiều mây,7°C,90%,11.1 km/h,1022 mbar,14.1*,,,,,Trung bình,
Nhiều mây,0°C,83%,18.5 km/h,1026 mbar,17.1,,,,,Trung bình,
Nhiều mây,10°C,94%,7.4 km/h,1017 mbar,6.1*,,,,,Tốt,
Nhiều mây,2°C,91%,0 km/h,1014 mbar,1,,,,,Tốt,
Nhiều mây,1°C,81%,9.3 km/h,1025 mbar,11.3,,,,,Tốt,
Nhiều mây,-8°C,99%,5.5 km/h,1016 mbar,4.9,,,,,Tốt,
Nhiều mây,0°C,93%,7.4 km/h,1026 mbar,10.1*,,,,,Tốt,
Trời quang,1°C,57%,3.2 km/h,1009 mbar,4,17,,,,Tốt,
Trời quang,0°C,82%,12.9 km/h,1010 mbar,19.5,26.5,,,,Trung bình,
Nhiều mây,27°C,71%,4.4 km/h,1012 mbar,2.1,,,,,Tốt,
Mưa,27°C,70%,22.8 km/h,1009 mbar,5,31,3,8,,Tốt,
Trời quang,17°C,55%,18.5 km/h,1019 mbar,55,,130,10,7,Không lành mạnh cho các nhóm nhạy cảm,700
Tuyết,-1°C,82%,13.2 km/h,1012 mbar,8,10,,,6.8,Tốt,
Nhiều mây,0°C,82%,5.5 km/h,1013 mbar,11.3,16.6,7.2,40.2,,Tốt,
Tuyết,0°C,51%,22 km/h,1011 mbar,5.1*,,,,,Tốt,
Ít mây,13°C,55%,14.8 km/h,1007 mbar,4.1*,,,,,Tốt,
Nhiều mây,13°C,73%,1.3 km/h,1005 mbar,2.1*,,,,,Tốt,
Trời quang,2°C,41%,2.9 km/h,1010 mbar,6.7,12.6,25.9,35.7,2.6,Tốt,
Mưa,10°C,75%,15.5 km/h,1018 mbar,5,8,,28.2,5.2,Tốt,
Nhiều mây,1°C,74%,5.4 km/h,1005 mbar,5,,,,,Tốt,
Mây rải rác,16°C,75%,5.3 km/h,1014 mbar,31,,,,,Trung bình,
Nhiều mây,-16°C,86%,28.8 km/h,1030 mbar,1.1*,,,,,Tốt,
Nhiều mây,8°C,76%,1.8 km/h,1005 mbar,6.1*,,,,,Tốt,
Nhiều mây,28°C,64%,14.7 km/h,1012 mbar,47,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,5°C,91%,18.5 km/h,1013 mbar,1.4,,,,,Tốt,
Mây rải rác,7°C,90%,11.1 km/h,1013 mbar,1.2,,,,,Tốt,
Mưa,7°C,69%,11.1 km/h,1012 mbar,7.3,,,,,Tốt,
Sương mù,11°C,87%,7.4 km/h,1018 mbar,10.2,,,,,Tốt,
